9;  9; 1234;  http://thehexfiles.net/viewstory.php?sid=1234; ;;  ; ;;  ; thehexfiles.net
12;  12; 26251;  http://www.mediaminer.org/fanfic/view_st.php/26251; 1; 2; ;;  ; www.mediaminer.org
13;  13; 24355;  http://www.mediaminer.org/fanfic/view_st.php/24355; 1; 3; ;;  ; www.mediaminer.org
14;  14; 135588;  http://www.mediaminer.org/fanfic/view_st.php/135588; 1; 4; ;;  ; www.mediaminer.org
15;  15; 24768;  http://www.mediaminer.org/fanfic/view_st.php/24768; 1; 5; ;;  ; www.mediaminer.org
16;  16; 64385;  http://www.mediaminer.org/fanfic/view_st.php/64385; 1; 6; ;;  ; www.mediaminer.org
17;  17; 47788;  http://www.mediaminer.org/fanfic/view_st.php/47788; 1; 7; ;;  ; www.mediaminer.org
18;  18; 65489;  http://www.mediaminer.org/fanfic/view_st.php/65489; 1; 8; ;;  ; www.mediaminer.org
19;  19; 92758;  http://www.mediaminer.org/fanfic/view_st.php/92758; 1; 9; ;;  ; www.mediaminer.org
20;  20; 8832;  http://www.mediaminer.org/fanfic/view_st.php/8832; 2; 0; ;;  ; www.mediaminer.org
21;  21; 135442;  http://www.mediaminer.org/fanfic/view_st.php/135442; 2; 1; ;;  ; www.mediaminer.org
22;  22; 165381;  http://www.mediaminer.org/fanfic/view_st.php/165381; 2; 2; ;;  ; www.mediaminer.org
23;  23; 75324;  http://www.mediaminer.org/fanfic/view_st.php/75324; 2; 3; ;;  ; www.mediaminer.org
24;  24; 133707;  http://www.mediaminer.org/fanfic/view_st.php/133707; 2; 4; ;;  ; www.mediaminer.org
25;  25; 120051;  http://www.mediaminer.org/fanfic/view_st.php/120051; 2; 5; ;;  ; www.mediaminer.org
41;  41; 409976;  http://archiveofourown.org/works/409976; 4; 1; ;;  ; archiveofourown.org
48;  48; 1234;  http://ncisfic.com/viewstory.php?storyid=1234; 4; 8; ;;  ; ncisfic.com
89;  89; 25986;  http://www.tthfanfic.org/Story-25986; 8; 9; ;;  ; www.tthfanfic.org
90;  90; 23085;  http://www.tthfanfic.org/Story-23085; 9; 0; ;;  ; www.tthfanfic.org
91;  91; 904833;  http://archiveofourown.org/works/904833; 9; 1; ;;  ; archiveofourown.org
138;  138; 118195;  http://www.mediaminer.org/fanfic/view_st.php/118195;  ; 1; 3; 8; www.mediaminer.org
142;  142; 87703;  http://www.mediaminer.org/fanfic/view_st.php/87703;  ; 1; 4; 2; www.mediaminer.org
147;  147; 369755;  http://archiveofourown.org/works/369755;  ; 1; 4; 7; archiveofourown.org
148;  148; 1769653;  http://archiveofourown.org/works/1769653;  ; 1; 4; 8; archiveofourown.org
149;  149; 1769716;  http://archiveofourown.org/works/1769716;  ; 1; 4; 9; archiveofourown.org
150;  150; 358931;  http://archiveofourown.org/works/358931;  ; 1; 5; 0; archiveofourown.org
151;  151; 359968;  http://archiveofourown.org/works/359968;  ; 1; 5; 1; archiveofourown.org
152;  152; 494544;  http://archiveofourown.org/works/494544;  ; 1; 5; 2; archiveofourown.org
153;  153; 360045;  http://archiveofourown.org/works/360045;  ; 1; 5; 3; archiveofourown.org
154;  154; 360172;  http://archiveofourown.org/works/360172;  ; 1; 5; 4; archiveofourown.org
180;  180; 587872;  http://archiveofourown.org/works/587872;  ; 1; 8; 0; archiveofourown.org
204;  204; 123;  http://www.wraithbait.com/viewstory.php?sid=123;  ; 2; 0; 4; www.wraithbait.com
312;  312; 167795;  http://www.mediaminer.org/fanfic/view_st.php/167795;  ; 3; 1; 2; www.mediaminer.org
510;  510; 576495;  http://archiveofourown.org/works/576495;  ; 5; 1; 0; archiveofourown.org
553;  553; 167174;  http://www.mediaminer.org/fanfic/view_st.php/167174;  ; 5; 5; 3; www.mediaminer.org
802;  802; 150910;  http://www.mediaminer.org/fanfic/view_st.php/150910;  ; 8; 0; 2; www.mediaminer.org
891;  891; 144738;  http://www.mediaminer.org/fanfic/view_st.php/144738;  ; 8; 9; 1; www.mediaminer.org
902;  902; 977628;  http://archiveofourown.org/works/977628;  ; 9; 0; 2; archiveofourown.org
959;  959; 783727;  http://archiveofourown.org/works/783727;  ; 9; 5; 9; archiveofourown.org
975;  975; 734469;  http://archiveofourown.org/works/734469;  ; 9; 7; 5; archiveofourown.org
1017;  1017; 142517;  http://www.mediaminer.org/fanfic/view_st.php/142517; ;;  ; 1; 0; www.mediaminer.org
1078;  1078; 138190;  http://www.mediaminer.org/fanfic/view_st.php/138190; ;;  ; 1; 0; www.mediaminer.org
1110;  1110; 569520;  http://archiveofourown.org/works/569520; ;;  ; 1; 1; archiveofourown.org
1168;  1168; 168554;  http://www.mediaminer.org/fanfic/view_st.php/168554; ;;  ; 1; 1; www.mediaminer.org
1195;  1195; 139820;  http://www.mediaminer.org/fanfic/view_st.php/139820; ;;  ; 1; 1; www.mediaminer.org
1275;  1275; 154314;  http://www.mediaminer.org/fanfic/view_st.php/154314; ;;  ; 1; 2; www.mediaminer.org
1290;  1290; 717740;  http://archiveofourown.org/works/717740; ;;  ; 1; 2; archiveofourown.org
1305;  1305; 138224;  http://www.mediaminer.org/fanfic/view_st.php/138224; ;;  ; 1; 3; www.mediaminer.org
1316;  1316; 139460;  http://www.mediaminer.org/fanfic/view_st.php/139460; ;;  ; 1; 3; www.mediaminer.org
1317;  1317; 818727;  http://archiveofourown.org/works/818727; ;;  ; 1; 3; archiveofourown.org
1376;  1376; 167591;  http://www.mediaminer.org/fanfic/view_st.php/167591; ;;  ; 1; 3; www.mediaminer.org
1397;  1397; 160751;  http://www.mediaminer.org/fanfic/view_st.php/160751; ;;  ; 1; 3; www.mediaminer.org
1442;  1442; 156950;  http://www.mediaminer.org/fanfic/view_st.php/156950; ;;  ; 1; 4; www.mediaminer.org
1482;  1482; 117881;  http://www.mediaminer.org/fanfic/view_st.php/117881; ;;  ; 1; 4; www.mediaminer.org
